"indore" "kimberley" "albuquerque" "valencia" "viena" "abashiri" "tampa" "sao_paulo" "lahore" "punta_arenas" "helsinki"
-38 -63.47 -17.52 25.09 94.65 68.09 37.77 104.3 -38.7 -13.2 77.9
-27.79 -94.59 -0.66 55.7 56.4 37.8 20.46 226.58 -3.17 -55.09 19
-38.02 -7.89 4.88 68.12 5 53.7 150.35 137.43 28.64 -26.08 42
-15.04 41.13 -11.67 -7.65 47.11 28.3 43.73 47.92 -19.37 -71.2 80
-80.24 -18.78 -28.65 24.18 34.97 133.3 -41.44 -28.26 95.46 -24.24 31
-202.14 -51.25 -44.52 -18.2 42.58 1.75 -48.61 -46.53 -127.46 -23.5 65.86
-255.07 -29.97 -58.15 -53.97 -7.13 21.56 2.97 57.5 -255.35 -6.9 41.56
-86.76 -9.47 -78.78 -35.73 -29.55 29.24 47.36 22.08 -316.98 33.7 12.83
42.47 -22.13 -83.03 -97.54 -62.95 56.32 -8.44 -17.12 -273.94 27.4 -20.58
-69.4 -29.2 -49.9 -103.59 -16.85 -29.66 104.34 15.68 -190.36 -1.37 31.79
38.99 -54.68 -43.46 124.61 58.88 42.3 -86.18 101.77 -186.6 14.74 -9.6
-106.94 -50 -28.23 -45.76 79.22 72.04 -21.61 69.64 -117.85 -35.56 38.15
-53.51 -77.95 -11.42 63.67 44.78 77.24 20.83 93.24 -38.05 -29.9 60
-36.14 -95.97 14.17 0.36 55.74 50.7 6.71 143.94 -15.41 -60.13 60
-29.06 -81.12 24.36 36.49 14 14.8 -5.45 246.63 41.99 -72 63
-21.65 -48.5 -1.88 -14.1 18.8 16 -4.55 148.08 24.42 -63.05 27
-76.43 -28.44 -22.35 -36.96 51.57 17.3 -9.54 107.49 -17.64 -58.89 52
-143.79 -56.17 77.13 -34.88 53.86 59.71 -21.21 -21.51 -108.11 -25.71 31.27
-291.33 -22.14 -54.24 -24.15 0.97 12.42 -77.22 33.53 -286.79 -19.79 -19.14
-158.21 -15.68 -59.13 -73.15 -34.1 59.6 93.72 7.53 -342.51 81.16 -51.62
333.18 -25.97 -93.51 -87.28 2.31 -43.98 57.85 94.6 -193.88 31 8.54
33.72 -27.98 -88.09 -91.4 -11.61 -52.09 243.28 -13.72 -309.58 -0.84 80.61
-26.22 -53.46 -64.67 3.89 -28.97 -8.28 13.18 17.28 33.97 -14.92 11.58
-101.34 -90.45 -39.39 -19.06 33.53 -2.21 -62.98 -1.01 -98.35 -28.26 103.98
-65.44 -50.71 105.45 30.97 122.88 54.97 -48.11 58.21 -45.84 -35.28 51.49
-33.49 -74.49 27.7 59.95 23.96 70.8 102.96 189.99 2.12 -60.96 18
-24.72 -53.92 0.1 -14.04 15.12 55.4 70.44 104.45 -6.44 -44.65 62
-31.19 -26.73 -9.79 -16.39 39.46 32.6 12.09 229.55 63.81 -52.49 53
-91.73 -7.29 -20.79 70.17 57.2 58 28.89 205.82 -3.4 -9.73 49
-186.92 -45.66 -11.31 72.57 -10.72 139.51 -31.28 23.6 -107.83 -4.24 44.67
-280.46 -21.15 -61.67 14.72 5.59 11.11 22.57 -63.97 -286.91 20.02 -13.3
69.78 -21.49 -94.62 -71.98 55.43 7 29.66 20.62 -279.31 14.11 -10.12
266.89 -18.84 -50.89 -64.35 32.63 -32.79 222.85 -24.02 -234.98 7.62 -17.36
189.56 -23.68 -75.04 -95.83 -25.45 -31.18 134.47 -47.36 -163.69 39.37 92.28
166.06 -61.2 -28.72 186.66 75.1 -6.36 -7.14 38.88 57.82 -23.07 20.03
-87.54 -20.18 -24.89 -22.91 4.46 37.68 -66.18 -10.19 -116.25 -17.21 3.79
-62.53 -20.99 -8.21 -19.89 37.2 25.66 -41.46 70.72 -47.64 -30.47 76.08
-35.61 -88.1 21.69 44.6 49 62.4 -28.59 121.9 -11.91 -53.58 72
-35.7 -19.56 23.35 11.87 41 50.4 -33.48 31.72 2.74 -39.03 51
-44.1 28.09 -15.34 29.26 9 50.5 -11.34 303 51.46 -67.47 36
-86.72 -25.69 -25.11 -22.27 29.27 25.2 -76.23 -9.44 -5.93 -42.12 36
-145.03 36.42 5.1 -12.25 78.89 21.03 -44.45 12.34 -63.71 5.2 25.05
-218.08 -3.74 -16.77 -21.24 -7.68 61.2 -37.29 87.45 -207.87 63.05 32.89
-138.17 -20.43 -75.87 -69.12 -12.22 14.7 61.46 34.69 -240.96 25.04 38.55
226.03 -20.61 -83.7 -84.26 101.92 0.32 83.93 48.36 -256.55 -12.88 -9.05
111.58 -35.75 -36.91 -92.48 -17.27 32.08 -45.81 28.06 -53.41 20.99 48.28
-76.74 -39 -61.36 81.15 -30.68 85.26 85.85 35.44 -237.69 -1.05 41.08
-121.92 -43.62 -9.21 -15.84 3.84 23.65 -53.15 94.06 -120.86 -34.97 -6.18
-60.05 -28.9 -4.68 38.44 46.74 34.85 -3.88 159.13 -46.66 -43.16 25.83
-27.08 -38.87 -1.82 -18.94 71.48 107.7 155.91 106.41 -10.99 1.61 14
-22.98 -94.92 9.59 96.53 30 15.8 27.57 53.51 31.7 -65.47 32
-43.05 -115.23 2.49 -3.44 30.75 5.2 4.4 122.26 -21.52 -81.55 50
-77.27 0.2 -21.76 24.03 12.28 276 -64.05 8.44 -49.9 0.34 39
-200.89 -33.94 16.72 -15.75 32.57 7.55 -50 3.06 -123.33 11.14 27.12
-244.54 -36.79 -49.12 -29.94 0.85 10.28 -61.48 38.87 -241.86 -0.05 1.46
-79.6 -8.5 -86.55 -46.49 -28.28 -9.69 34.01 -41.05 -288.09 44.88 -2.15
234.52 -3.52 -64.16 -86.49 20.03 46.2 -71.46 -46.29 -50.9 11.12 -17.63
39.77 -25.96 -54.33 -64.67 14.13 -55.72 53 -8.52 352.27 11.2 -24.2
-96.06 -41.21 -62.32 -67.33 -13.6 -29.82 21.1 -3.68 -118.58 5.71 19.63
-103.6 -75.3 -20.94 80.88 -25.18 14.57 -44.56 87.88 -95.97 -17.01 44.32
-59.89 -81.73 -5.46 93.53 23.57 51.23 -17.26 89.38 -36.54 -53.94 30
-29.49 -65.08 1.89 14.78 14 61.8 -32.11 137.08 -4.34 -31.85 27
-37.26 -70.04 -2.25 -9.83 22 39.5 1.15 151.34 11.55 -81.16 39
-50.64 32.22 -1.46 36.46 70 28.2 -5.96 160.89 2.27 -51.63 16
-114.89 27.13 -8.86 -23.76 47.07 27.8 -22.41 129.2 -47.7 -12.76 65
-147.61 -21.09 -29.03 -8.4 13.23 34.95 -48.83 14.01 -45.22 38.84 46.63
-248.05 28.86 -44.86 16.51 69.77 140.13 -33.54 -6.69 -215.94 41.97 16.99
-115.79 -27.32 -85.08 -24.99 -12.38 17 151.52 -8.67 -196.96 44.73 -21.33
60.59 -22.55 -86.62 -80.77 7.91 5.98 134.37 -46.18 24.07 10.95 13.2
93.08 -34.89 -61.97 -95.27 2.69 -5.51 191.78 40.93 -119.45 7.03 8.6
36.61 -49.93 -63.92 -49.5 9.91 102.91 -68.99 21.67 10.64 4.32 -2.04
-91.62 -50.63 -50.01 26.75 -11.3 74.26 -68.51 120.31 -103.43 -29.89 26.3
-58.12 -108.01 -22.07 39.04 14.81 44.71 -40.31 23.87 -50.66 -51.7 106
18.69 -76.68 4.8 10.44 51.77 48.1 5.89 73.52 54.09 -60.14 84
-35.32 -58.1 2.18 -10.49 38.58 14.3 -2.61 97.25 29.34 -25.29 59
-49.07 -71.66 6.03 -29.63 39.02 53.5 49.68 123.94 -15.15 -79.22 80
-101.08 7.91 -29.86 -6.82 23.62 44.2 -33.76 87.31 -42 -29.05 18.15
-175.45 -60.61 -36.06 -29.33 20.47 6.5 -28.84 -35.06 -74.16 -30.37 -1.74
-244.54 -37.49 -54.16 -20.99 114.64 -16.75 -54.8 2.47 -247.81 36.94 15.64
76.92 -11.1 -76.36 -54.18 32.11 1.95 110.26 -36.7 -207.22 13.64 -17.09
67.41 -7.35 -65.29 -86.75 20.39 -8.73 116.71 69.01 -152.3 -7.05 47.84
97.92 -33.24 -64.61 -76.54 40.52 30.06 27.65 -52.62 -87.32 13.86 -11.62
79.92 7.63 -79.94 33.82 77.06 64.91 -111.74 66.06 -206.34 -2.79 9.63
-14.27 -56.92 -31.03 -19.87 -8.34 -30.94 46.22 30.76 -111.17 -42.98 12.05
-17.14 -60.18 1.58 -32.63 87.81 34.4 11.57 63.59 -36.1 -56.78 132.02
-36.81 -118.25 3.86 -14.82 29.12 32.4 9.95 35.3 -5.66 -84.3 108
-48.36 -92.06 1.84 18.82 26 141.2 -19.07 87.37 52.94 -33.12 42
-46.7 -122.66 36.59 11.11 33.48 25.5 -40.97 123.19 -14.76 -65.5 79
-76.74 -30.95 -16.02 62.03 36.23 71.8 10.6 89.42 68.41 -16.74 17
-171.61 -49.09 -30.91 -15.23 10.52 22.89 -65.64 -25.97 -103.15 46.59 31.56
-277.26 27.1 -53.63 58.69 118.75 -12.93 -17.58 -2.5 -235.61 19.97 -3.18
-64.58 5.2 -55.06 -10.17 -28.54 17.68 -21.16 35.54 -253.34 3.06 -44.25
-58.4 9.09 -42.19 -97.01 -41.74 80.32 26.32 63.18 -293.89 28.9 -21.2
-8.36 -24 -80.9 -103.82 -5.41 95.44 35.48 103.12 -221.03 14.69 17.04
71.08 -58.61 -42.76 -66.61 -2.17 6.65 38.82 33.16 -208.93 -24.84 21.17
-112.24 -61.39 49.82 1.57 20.49 60.4 27.93 133.34 -119 -53.61 53.37
-29.51 -64.58 1.76 -18.54 7.49 68.48 42.9 81.05 -9.63 -36.03 86.05
-50.22 -156.37 5.1 -24.42 56.51 75 16.68 268.08 -10.35 -40.25 48
-42.07 -140.98 0.38 -8.18 27 174.9 130.98 78.13 45.69 -41.17 37
-59.6 -14.86 1.85 -24.59 41.51 33.1 23.75 108.37 -24.85 -36.03 21
-97.35 -41.55 3.15 -37.6 28.48 22.6 56.96 63.34 -38.22 -41.69 48.91
-196.26 -6.88 -20.71 48.11 26.56 65.99 -56.39 -9.05 -85.47 8.23 21.08
-271.85 9.94 -49.45 -50.98 72.67 67 -12.91 3.07 -253.87 9.56 38.08
-181.32 -7.35 -62.32 -64.05 26.81 17.42 218.11 -7.26 -327.43 -8.53 26.04
212.41 -10.56 -36 -84.6 61.9 8.89 31.35 -28.88 -225.92 41.14 -62.4
89.28 -36.86 -73.7 -91 -7.2 44.48 -20.27 -23.58 -3.99 -13.81 24.15
-66.63 -44.87 -49.68 102.25 59.82 103.92 345.59 26.88 -179.84 2.22 64.61
-96.68 -87.47 -25.78 -11.82 20.52 -3.97 -67.92 94.08 -110.21 -34.11 91.39
41.63 -119.91 -7.14 -8.47 27.22 36.43 18.51 98.88 -28.24 4.34 97.21
-32.4 -92.17 11.9 12.96 11.46 52.4 -16.45 55.29 -7.56 -48.12 80.94
-31.78 -105.34 19.8 -5.64 30 58.2 -29.69 138.45 -11.69 -88.22 13
-51.98 -30.11 8.44 19.72 8.06 33.1 59.58 -36.23 19.32 -9.77 43
-80.82 -3.13 -5.2 -18.54 -0.86 22.6 12.51 37.72 7.51 -25.6 71
-210.92 -19.19 -19 -12.87 5.62 5.18 -29.81 -33.94 -141.15 -3.83 16.82
-196.32 -36.36 -53.74 -17.6 5.82 19.54 -57.71 -29.53 -131.22 43.25 -8.41
30.43 -14.91 -51.84 -68.59 -14.83 13.4 49.96 73.41 -206 18.01 -14.12
286.23 -19.3 -83.83 -81.64 97.57 38.26 39.78 -43.71 -20.64 102.52 -37.37
186.68 -43.68 -78.62 -85.42 21.73 15.44 150.21 -24.43 6.07 23.41 3.63
-86.21 -39.52 -45.33 66.02 6.1 -2.39 -60.95 -6.39 -173.34 -15.82 -27.2
-118.46 -66.34 -24.49 -32.01 -4.94 29.69 -36.36 -34.76 -104.97 -31.48 8.84
-67.01 -89.83 -0.31 -38.84 72.52 48.51 -47.4 -4.16 -34.46 -46.08 73.7
-35.82 -143.37 26.9 -12.05 67.1 42.3 71.66 -18.45 1.96 -43.08 59
-49.69 -140 -3.69 -4.25 19 61.8 80.61 43.82 14.17 -41.81 34
-48.24 -87.63 5.58 -18.79 5 10.4 58.17 82.29 25.89 -43.32 21
-91.03 -62.67 -4.91 -33.78 28.31 54.7 -2.89 58 -31.87 -45.19 62
-178.76 -23.54 -10.69 26.23 -5.81 85.15 -12.05 -65.11 -90.38 9.53 3.11
-259.89 -7.1 -26.6 -10.28 33.34 -20.38 -82.65 -45.51 -214.65 22.25 36.87
-13.62 -4.53 -81.94 -40.15 -2.05 8.98 -18.47 10.36 -282.32 80.8 -32.2
33.31 -19.04 -41.35 -38.18 67.91 82.47 20.56 -50.83 60.08 79.86 -70.85
54.25 -22.9 -40.39 -52.48 -25.4 93.04 -4.24 -25.57 -145.79 2.32 -31.9
35.26 -52.45 -65.52 -55.26 29.26 149.02 42.13 -35.2 -62.54 0.28 52.58
-86.21 -50.16 10.23 -21.49 6.65 20.24 23.9 -34.35 -31.66 -30.63 8.84
-54.18 -36.28 -16.83 90.96 16.89 70.27 3 115.98 -30.04 -35.8 41.06
-36.63 -16.04 61.69 -8.69 40.68 48 94.05 138.47 7.84 -10.86 115.36
-35.22 -128.16 17.3 -18.92 85.78 76.2 99.17 52.9 -2.59 -77.6 56
-31.28 -35.1 8.42 -10.67 27.34 121.6 91.09 -39.31 44.46 -61.27 31
-88.34 -111.5 0.39 17.04 70.73 180 12.44 -24.67 -24.16 -43.03 32
-163.76 -48.42 16.49 54.06 34.48 30.36 -29.39 -46.04 -129.3 4.94 31.62
-285.45 -16.95 -35.31 63.09 -10.27 40.61 55.15 -41.29 -345.6 90.37 26.73
-192.59 -12.39 -76.67 -55.55 43.79 -8.78 -43.46 1.25 -296.09 16.38 -4.44
29.09 5.07 -22.86 -56.99 34.4 48.9 -21.86 -20.31 -324.41 25.54 7.22
76.96 -40.3 -68.32 -91.75 23.71 -30.52 75.42 -2.65 -295.09 1.72 -20.38
17.61 -47.48 -37.3 -33.51 30.09 -27.63 -90.53 -18.97 -154.09 -34.47 76.77
-44.44 -47.36 -34.75 -9.89 64.42 107.08 -71.9 55.65 -79.59 -44.79 35.16
-66.57 -61.46 -6.33 72.74 42.77 34.86 12.81 152.14 -38.85 -18.75 95
-25.61 -100.87 2.03 -18.45 34.6 47.3 37.5 67.69 -7.33 -28.51 87
-38.89 -109.94 59.09 -15.59 51.93 50.5 -44.87 118.62 -11.85 -68.59 65
-33.01 -145.81 -8.64 -6.63 47.05 103.8 -11.35 7.14 -4.87 -59.74 50
-131.29 -17.92 -9.79 8.54 9.49 59.8 -16.62 51.97 -72.76 40.12 48
-218.7 -55.28 -11.9 53.57 95.65 25.66 15.61 -26.61 -154.33 10.25 16.13
-266.01 -23.16 -50.12 -51.91 9.23 44.31 -62.21 71.25 -201.88 31.07 66.42
66.73 -19.6 -81.48 -62.32 28.46 -33.3 42.11 -46.21 -308.39 4.28 52.26
105.91 -19.59 -48.04 -85.62 96.57 -48.99 -17.86 -45.4 204.5 19.35 -41.94
249.28 -26.49 -32.47 -102.23 25.48 -53.38 78.92 -6.1 -65.84 -13.23 52.66
33.68 -59.26 -58.24 -44.73 39.98 24.48 33.08 -12.4 -163.48 -16.52 2.71
-43.54 -56.67 28.63 -52.8 -4 -10.24 -75.49 38.14 -97.11 -24.3 57.69
-26.43 -95.02 -13.01 22.48 7.44 34.92 58.57 140.23 -26.43 -29.28 70.88
-33.52 -113.78 -0.02 4.48 44.17 99.1 3.42 114.55 -10.9 -56.23 54
-37.56 -106.72 7.43 38.64 86 106.9 -31.12 158.75 -7.29 -54.79 45
-32.32 -33.47 12.39 4.57 21 80.9 6.55 91.84 -24.3 -39.64 41
-101.5 -26.25 -11.5 -18.22 38.28 65 -51.21 -22.31 -46.34 -31.6 22
-156.56 -48.73 -25 -6.59 82.36 35.56 -33.22 40.14 -49.89 -36.82 43.35
-196.58 -29.16 -26.29 -11.04 -35.19 -2.14 -62.75 31.14 -129.06 -24.6 -20.27
4.1 -9.52 -77.6 -31.62 -64.45 14.48 -25.28 -31.11 -210.01 21.89 -22.9
88.41 -14.31 -98.79 -89.71 -29.45 66.72 37.77 10.5 -165.06 3.44 -58
116.94 27.66 -76.71 -93.59 -31.02 -56.48 126.81 -12.06 71.39 65.81 -63.28
196.45 -55.69 -54.59 -79.28 -47.74 23.53 9.73 34.32 112.43 54.54 50.01
30.42 -88.44 -37.18 -37.41 51.07 89.85 20.08 24.03 -55.13 -51.9 57.56
-42.13 -41.69 -16 63.4 29.11 93.56 -31.57 6.09 -23.36 -54.68 80.62
-37.01 -63.34 -6.14 82.35 65 131 -7.56 73.57 -10.96 -35.39 65
-27 -65.09 7.4 -1.74 15.83 93.3 57.83 100.32 -5.56 -74.25 85
-59.61 -103.17 -5.19 -18.27 29.35 21.9 -56.99 -10.82 -15.89 -66.76 50
-96.77 -37.33 2.4 54.82 4.43 131.5 -53.16 41.5 16.22 -35.85 7
-161.93 -72.08 -23.05 38.66 14.91 37.61 -25.36 -20.31 -45.55 77.91 15.03
-262.13 -9.43 -37.91 -23.99 -29.59 11.76 -50.24 4.19 -317.19 -4.61 -29.89
-99.25 -22.05 -83.68 -4.76 83.98 -6.12 -112.09 8.58 -267.5 81.06 17.87
-62.18 35.05 -75.93 -59.48 24.72 48.54 -18.62 16.68 -319.09 18.86 3.93
72.65 -24.5 -55.2 -74.1 62.88 3.07 54.26 28.94 -156.88 86.37 -1.17
-85.09 -5.97 -70.16 -68.27 -12.62 48.29 11.34 30.17 -186.84 -3.23 116.19
-119.34 1.03 1.14 57.74 68.85 22.48 -41.75 87.12 -108.86 -40.79 15.21
-75.88 -81.28 -4.61 268.13 29.6 38.91 23.76 22.13 -34.62 -11.43 6.14
-35.08 -111.11 7.4 -18.32 90.82 20.8 19.41 24.01 -5.2 -72.61 99
33.36 -124.36 0 -6.13 40.12 34 34.66 120 47.27 -78.9 53
-51.38 -132.24 0.66 58.25 23.62 15.7 118.06 71.43 9.05 -60.29 26
-118.84 -29.35 16.72 -20.7 52.74 53.3 65.36 -59.13 -41.4 -70.9 60
-190.07 -54.36 9.84 -30.38 44.28 33.82 -61.23 -28.35 -106.93 -21.02 41.37
-229.1 -38.59 -30.3 -44.27 67 6.5 4.28 -29.86 -205.27 145.46 -32.36
88.34 -30.86 -62.96 -64.73 11.55 11.95 72.9 99.63 -419.13 -1.94 16.78
191.06 -24.45 4.45 -33.39 31.12 24.11 161.22 -54.5 -3.32 71.52 -36.14
363.45 -27.11 -75.26 -88.65 -19.8 94.57 -61.38 -5.73 -70.32 -18.13 18.13
-66.99 -52.88 -41.93 223.13 16.24 89.88 36.13 9.02 -180.38 -23.88 -4.47
-37.91 -94.07 2.63 15.38 27.42 7.36 -98.42 42.08 -104.67 -56.53 44.63
-55.77 -69.87 3.8 62.62 78.97 27 -10.94 68.37 -32.23 -58.43 73
-35.57 -129.37 16.09 9.66 53.26 99 -1.43 -12.18 7.13 -69.46 61
64.09 -69.8 -4.08 -18.49 68.76 59.8 28.53 102.8 21.59 -64.07 63
-48.09 58.61 -6.24 73.79 24.53 35.2 54.17 8.67 5.34 -73.19 58
-110.8 48.8 -3.91 -2.13 -5.69 43.9 -26.19 25.58 -27.67 26.21 19.54
-181.79 -64.65 -16.48 -34.93 8.17 64.95 126.56 -39.39 -111.33 -35.7 64.54
-173.09 -33.6 -37.21 -32.2 24.73 84.73 -63.88 -27.12 -141.45 10.96 15.32
-98.48 -16.27 -70.47 -27.33 48.3 34.63 -13.37 -29.81 -294.15 39.62 -14.4
394.54 -29.39 -102.43 -81.09 58.62 51.21 168.22 -7.21 -287.04 22.5 -10.66
34.66 -11.37 -53.16 -54.96 75.03 107.36 2.09 -13.05 -92.28 25.56 33.65
-21.28 -46.46 -67.37 -42.99 -9.1 89.55 31.76 84.07 -226.89 31.13 6.71
-122.58 -51.4 -7.67 -23.44 -21.01 61.43 -75.73 20.86 -130.42 -56.56 2.06
-71.71 -106.36 -10.62 249.81 1.56 38.23 28.08 43.09 -51.57 -43.59 22.19
-44.13 -111.74 5.01 30.5 113.07 62.6 8.03 15.64 -13.29 -64.24 19
-31.58 -123.59 -0.64 -17.59 54.62 37.3 -11.07 35.46 -11.12 -64.93 116.6
-50.71 -11.49 -5.36 73.8 85.75 44.5 -1.77 141.22 -21.88 -43.29 36.7
-138.21 -4.94 -3.65 -20.02 -17.89 67.5 -54.97 -24.55 -91.06 -72.93 36.38
-232.29 -28.77 -29.98 -9.66 120.08 43.99 -25.02 3.48 -221.67 -38.51 6.28
-282.77 -23.06 -54.64 28.44 -9.35 14.95 144.08 -47.4 -311.94 6.56 -13.07
-10.92 -18.57 -21.38 -61 3.68 16.3 9.61 16.11 -310.07 -1.36 23.34
67.87 -13.76 -28.68 -88.52 -30.78 5.44 146.64 -11.66 -34.88 2.49 3.8
49.34 -31.62 -28.57 -94.6 -41.68 24.05 -89.01 -14.29 -84.4 -10.97 -8.92
206.17 -60.74 -73.89 -80.69 -25.18 -20.76 -114.08 6.37 -152.63 -40.06 12.1
-75.85 -80.8 -38.7 -21.97 15.04 40.62 157.13 -12.69 -91.89 -65.91 62.39
-52.73 -22.53 -19.05 15.69 32.44 95.75 -30.1 -22.06 -41.13 -58.01 30.7
-48.38 -81.5 -0.72 2.34 43.25 71.7 -1.28 36.79 -8.74 -12.58 78.6
-23.83 -67.53 -0.01 -9.37 78 48.7 -2.93 303.75 3.19 -56.25 46.1
-70.85 -118.07 -4.77 -12.99 29 19.4 -39.94 -11.87 -12.26 -68.75 25
-119.74 -84.85 -1.11 -6.96 16.79 39.3 -32.41 104.65 -58.63 -66.17 40.7
-207.69 -90.63 -27.67 -37.91 -1.38 82.82 -93.3 -45.36 -141.98 -35.28 27.11
-273.36 -26.42 -56.71 -52.56 -23.9 20.58 -32.02 -46.43 -222.92 13.09 25.38
-67.29 -20.94 -90.79 118.99 -8.72 -11.27 -78.06 19.33 -250.5 -7.3 41.29
206.16 -27.03 -108.9 -57.31 -35.35 -25.56 36.38 -35.8 -249.67 31.39 1.36
-57.41 -36.65 -80.07 -82.31 -8.87 146.96 81.43 -33.89 -212.26 -11.44 58.85
197.57 -78.37 -82.87 -12.08 137.78 11.79 91.06 -7.08 74.34 -11.1 12.05
-99.55 -86.87 -39.96 -19.96 124.94 77.93 158.99 42.93 -95.51 -38.27 -0.85
10.35 -56.69 12.55 66.74 22.6 76.76 -40.99 89.73 -36.25 -50.24 62.02
-25.84 -105.53 -6.84 -13.43 46.46 66.1 39.74 6.3 19.2 -85.41 37.8
-40.58 -80.77 -3.51 -15.97 47.82 61.8 -14.98 91.12 34.65 -53.51 62.2
-42.25 -70.79 3.17 -36.82 31.72 14.6 -24.94 77.15 24.14 -63.43 18.5
-109.24 -82.8 12.03 -4.88 52.11 24.2 -36.68 106.34 -43.46 -45.4 13.7
-194.03 -23.12 -18.48 -12.72 33.18 4.85 -67.35 -16.62 -100.66 -11.79 12.39
-249.37 -16.67 -56.94 -27.84 -16.14 47.01 46.66 23.98 -171.7 -30.31 26.32
-266.27 -14.37 -94.78 -58.82 19.18 -5.69 35.41 5.32 -357.87 -10.99 20.23
322.54 -12.66 -102.04 -88.36 -23.5 54.19 -15.56 -21.58 -140.99 2.74 -29.17
